SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SADAIYAN.M,Bahujan Samaj Party,3528,15,3543,0.28
2,SARAVANAN.K.R.S,All India Anna Dravida Munnetra Kazhagam,458118,1258,459376,36.59
3,PARTHIBAN.S.R,Dravida Munnetra Kazhagam,602453,3849,606302,48.29
4,SILAMBARASAN.C,Tamil Nadu Ilangyar Katchi,4561,2,4563,0.36
5,PRABHU MANIKANDAN.M,Makkal Needhi Maiam,58472,190,58662,4.67
6,MOHAN.P,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),776,1,777,0.06
7,RASA.A,Naam Tamilar Katchi,33741,149,33890,2.7
8,AHAMED SHAHJAHAN.M,Independent,1367,2,1369,0.11
9,KALAIMANNAN.C,Independent,635,1,636,0.05
10,SIVARAMAN.S,Independent,4268,5,4273,0.34
11,SURULIVEL.N.K,Independent,1101,1,1102,0.09
12,SELVAM.S.K,Independent,52252,80,52332,4.17
13,TAMILARASAN.T,Independent,1144,4,1148,0.09
14,NATARAJAN.C,Independent,1678,1,1679,0.13
15,PRAVINA.G,Independent,1459,2,1461,0.12
16,MANIMARAN.C,Independent,1989,2,1991,0.16
17,MADESWARAN.S,Independent,773,0,773,0.06
18,MURTHY KAMARAJAR.M,Independent,1464,1,1465,0.12
19,RAVI.A,Independent,1554,2,1556,0.12
20,RAMACHANDRAN.K.T,Independent,438,2,440,0.04
21,RAJA.A,Independent,447,3,450,0.04
22,HARIHARAN.K,Independent,539,2,541,0.04
23,NOTA,None of the Above,16998,132,17130,1.36
,Total, ,1249755,5704,1255459,
