SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KARTI P CHIDAMBARAM,Indian National Congress,564002,2102,566104,52.2
2,SARAVANAN.K,Bahujan Samaj Party,5068,11,5079,0.47
3,H.RAJA,Bharatiya Janata Party,233295,565,233860,21.56
4,V.SAKTHI PRIYA,Naam Tamilar Katchi,71991,249,72240,6.66
5,KAVINGNAR SNEKAN,Makkal Needhi Maiam,22846,85,22931,2.11
6,ARIMALAM THIAGI.SUBRAMANIAN MUTHURAJA,Agila India Makkal Kazhagam,1275,8,1283,0.12
7,M.PRABHAKARAN,Tamil Nadu Ilangyar Katchi,1226,5,1231,0.11
8,A.VELLADURAI,Ezhuchi Tamilargal Munnetra Kazhagam,2552,1,2553,0.24
9,A.ANTONY SESU RAJA,Independent,1187,4,1191,0.11
10,L.KASINATHAN,Independent,1786,3,1789,0.16
11,N.KARTHICK,Independent,1422,0,1422,0.13
12,C.SARAVANAN,Independent,2094,3,2097,0.19
13,SINGADURAI.R,Independent,3966,10,3976,0.37
14,C.CHIDAMBARAM,Independent,1261,0,1261,0.12
15,M.CHINNAIAH,Independent,1248,0,1248,0.12
16,SENTHAMILSELVI.R,Independent,3449,4,3453,0.32
17,SENTHIL KUMAR.C,Independent,4690,0,4690,0.43
18,K.CHELLAKKANNU,Independent,3951,1,3952,0.36
19,P.SELVARAJ,Independent,2483,2,2485,0.23
20,R.NATARAJAN,Independent,1284,0,1284,0.12
21,V.PANDI,Independent,122325,209,122534,11.3
22,M.MOHAMMED RABEEK,Independent,1441,0,1441,0.13
23,A.RADHA KRISHNAN,Independent,905,0,905,0.08
24,M.RAJASEKAR,Independent,2140,0,2140,0.2
25,M.RAJA,Independent,2866,3,2869,0.26
26,P.RAJENDHIRAN,Independent,11159,8,11167,1.03
27,NOTA,None of the Above,9255,28,9283,0.86
,Total, ,1081167,3301,1084468,
