SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Antony.M,Bahujan Samaj Party,6793,15,6808,0.48
2,Baalu.T.R.,Dravida Munnetra Kazhagam,790750,2531,793281,56.39
3,Godwin Shadrach S R,Tamizhaga Murpokku Makkal Katchi,3598,1,3599,0.26
4,Palanivel.K,Communist Party of India (Marxist-Leninist) (Liberation),2611,7,2618,0.19
5,Mahendran.H,Naam Tamilar Katchi,84855,124,84979,6.04
6,Rajasekaran S,Anti Corruption Dynamic Party,13740,6,13746,0.98
7,Vaithilingam A,Pattali Makkal Katchi,284673,653,285326,20.28
8,Sridhar M,Makkal Needhi Maiam,135383,142,135525,9.63
9,Anantharaman R K,Independent,935,6,941,0.07
10,Ayodhi L,Independent,4046,4,4050,0.29
11,Indian.P.N.K.,Independent,1184,1,1185,0.08
12,Sasikumar A,Independent,803,1,804,0.06
13,Singarajan S P,Independent,738,0,738,0.05
14,Tambaram Narayanan G,Independent,41446,51,41497,2.95
15,Muthumaran K,Independent,1371,0,1371,0.1
16,Raja Marimuthu,Independent,2268,0,2268,0.16
17,Vasanthi S,Independent,2014,4,2018,0.14
18,Viruthagiri A,Independent,1799,1,1800,0.13
19,Vaithiyalingam R,Independent,883,2,885,0.06
20,NOTA,None of the Above,23288,55,23343,1.66
,Total, ,1403178,3604,1406782,
