SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dr.KRISHNASAMY.K,All India Anna Dravida Munnetra Kazhagam,354216,1654,355870,33.4
2,DHANUSH.M.KUMAR,Dravida Munnetra Kazhagam,470346,5810,476156,44.69
3,MATHIVANAN.S.S,Naam Tamilar Katchi,58855,590,59445,5.58
4,MUNESHWARAN. K,Makkal Needhi Maiam,23844,179,24023,2.25
5,RAVI. K,Anti Corruption Dynamic Party,1165,29,1194,0.11
6,SIVAJAYAPRAKASH.S,Independent,1939,8,1947,0.18
7,SUNDARAM.N,Independent,1486,4,1490,0.14
8,SUBBIAH. S,Independent,804,4,808,0.08
9,SURIYARAGUPATHI. T,Independent,3000,2,3002,0.28
10,SELVAKUMAR. M,Independent,2222,8,2230,0.21
11,THANGARAJ. C,Independent,723,4,727,0.07
12,DHANUSKODI.P,Independent,1241,4,1245,0.12
13,THAMARAI SELVAM. K,Independent,1471,2,1473,0.14
14,DEEPAN ARUN.A,Independent,1964,1,1965,0.18
15,PALANI SAMY.S,Independent,2946,4,2950,0.28
16,BHARATHARAJ. S,Independent,4226,0,4226,0.4
17,PERUMALSAMY. S,Independent,4327,7,4334,0.41
18,PONNUSAMY.R,Independent,3302,4,3306,0.31
19,PONNUTHAI.G,Independent,2424,3,2427,0.23
20,PONNUTHAI. S,Independent,91130,986,92116,8.64
21,PONNUTHAI. M,Independent,1118,11,1129,0.11
22,PONNUTHAI.M,Independent,4723,10,4733,0.44
23,MUTHUMURUGAN. M,Independent,1728,6,1734,0.16
24,MOORTHY. D,Independent,1980,5,1985,0.19
25,VAIRAVAN. P,Independent,996,2,998,0.09
26,NOTA,None of the Above,13900,156,14056,1.32
,Total, ,1056076,9493,1065569,
