SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"PALANIMANICKAM,S.S.",Dravida Munnetra Kazhagam,583621,5357,588978,55.6
2,"STALIN,R.",Bahujan Samaj Party,5840,16,5856,0.55
3,"KRISHNAKUMAR,N.",Naam Tamilar Katchi,57740,184,57924,5.47
4,SAMPATH RAMADOSS,Makkal Needhi Maiam,23375,102,23477,2.22
5,"NATARAJAN,N.R .",Tamil Maanila Congress (Moopanar),220417,432,220849,20.85
6,"PANASAIARANGAN,K.N.",Desiya Makkal Sakthi Katchi,2038,3,2041,0.19
7,"ABDULBUHARI,K .",Independent,1242,2,1244,0.12
8,"SAMANTHA,K.S.",Independent,2638,5,2643,0.25
9,"SELVARAJ,R .",Independent,28234,40,28274,2.67
10,"MUTHUVEL,S .",Independent,4508,1,4509,0.43
11,"MURUGESAN, P.",Independent,102418,453,102871,9.71
12,"VIJAYAKUMAR,T.",Independent,5449,3,5452,0.51
13,NOTA,None of the Above,15050,55,15105,1.43
,Total, ,1052570,6653,1059223,
