SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,R.Anbuchezhian,Bahujan Samaj Party,15153,34,15187,1.08
2,Dr.P.Venugopal,All India Anna Dravida Munnetra Kazhagam,409274,1063,410337,29.14
3,Dr.K.Jayakumar,Indian National Congress,764093,3199,767292,54.49
4,C.Kalanithi,Anti Corruption Dynamic Party,4153,9,4162,0.3
5,D.Ravi Pariyanar,Republican Party of India (A),1754,6,1760,0.12
6,Logarangan.M,Makkal Needhi Maiam,73555,176,73731,5.24
7,M.VETRISELVI,Naam Tamilar Katchi,65254,162,65416,4.65
8,G.Arulraj,Independent,871,1,872,0.06
9,D.Anandaraj,Independent,788,1,789,0.06
10,K.Kamalanathan,Independent,704,1,705,0.05
11,V.Gunasekaran,Independent,907,1,908,0.06
12,K.Chandrasekar,Independent,762,0,762,0.05
13,S.Sargunam,Independent,722,1,723,0.05
14,C.Bharath,Independent,1976,1,1977,0.14
15,A.Manikandan,Independent,3123,3,3126,0.22
16,Murugesan,Independent,3185,0,3185,0.23
17,Pon.Raja,Independent,33869,75,33944,2.41
18,N.Vikraman,Independent,1942,0,1942,0.14
19,Vijaya .R.,Independent,2363,5,2368,0.17
20,G.George,Independent,726,2,728,0.05
21,NOTA,None of the Above,18175,100,18275,1.3
,Total, ,1403349,4840,1408189,
