SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR.Elangovan. V,Desiya Murpokku Dravida Kazhagam,161379,620,161999,15.46
2,Thirunavukkarasar. SU,Indian National Congress,615667,5618,621285,59.28
3,Balamurugan. S,Bahujan Samaj Party,3949,12,3961,0.38
4,Asaithambi. P,Communist Party of India (Marxist-Leninist) (Liberation),2667,18,2685,0.26
5,Anandharaja. V,Makkal Needhi Maiam,41970,164,42134,4.02
6,Easudoss. S,Indian Christian Front,1299,4,1303,0.12
7,Ganesan. P,Tamil Nadu Ilangyar Katchi,1318,6,1324,0.13
8,Nachi. S,Desiya Uzhavar Uzhaipalar Kazhagam,2364,4,2368,0.23
9,Vinoth. V,Naam Tamilar Katchi,64979,307,65286,6.23
10,Arunachalam. A,Independent,4884,8,4892,0.47
11,Ganesh. R,Independent,1220,3,1223,0.12
12,Karuppaiah.C,Independent,1212,6,1218,0.12
13,Kamaraj. K,Independent,731,0,731,0.07
14,Karthik. K.M,Independent,2134,2,2136,0.2
15,Gopalakrishnan. V,Independent,2529,3,2532,0.24
16,Shadhik Batcha. A,Independent,3374,2,3376,0.32
17,Sarubala. R. Thondaiman,Independent,100399,419,100818,9.62
18,Sundrarajan.P,Independent,3450,1,3451,0.33
19,Chellaperumal.,Independent,2241,0,2241,0.21
20,Thirunavukarasu. S,Independent,3667,2,3669,0.35
21,Durai Benjamin,Independent,873,3,876,0.08
22,Pushparaj. K,Independent,1601,3,1604,0.15
23,Vijayakumar. P,Independent,1350,4,1354,0.13
24,Jayaram Metha. S,Independent,1158,1,1159,0.11
25,NOTA,None of the Above,14296,141,14437,1.38
,Total, ,1040711,7351,1048062,
