SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANNADURAI C N,Dravida Munnetra Kazhagam,661719,4553,666272,57.85
2,AGRI KRISHNAMURTHY S S,All India Anna Dravida Munnetra Kazhagam,360256,1829,362085,31.44
3,BABU B,Bahujan Samaj Party,4046,78,4124,0.36
4,ARUL R,Makkal Needhi Maiam,14512,142,14654,1.27
5,KALASTHRI S,All India Uzhavargal Uzhaippalargal Katchi,1967,32,1999,0.17
6,RAMESHBABU R,Naam Tamilar Katchi,27258,245,27503,2.39
7,ANNADURAI T S,Independent,923,14,937,0.08
8,ANNADURAI S,Independent,1206,12,1218,0.11
9,ANNADURAI B,Independent,842,6,848,0.07
10,ANBALAGAN M,Independent,814,10,824,0.07
11,INDIRAMOHAN P,Independent,727,1,728,0.06
12,UDHAYAKUMAR P S,Independent,756,3,759,0.07
13,AYYAPPAN M,Independent,846,5,851,0.07
14,KARUNA S,Independent,1851,4,1855,0.16
15,KALAIMANI S,Independent,1632,0,1632,0.14
16,KRISHNAMOORTHY A,Independent,4175,0,4175,0.36
17,KRISHNAMURTHI R,Independent,4001,0,4001,0.35
18,SIVAGURURAJ T,Independent,1758,0,1758,0.15
19,GNANASEKAR A,Independent,38503,136,38639,3.35
20,PADAVETTAN M,Independent,604,2,606,0.05
21,RAGHUNATHAN K,Independent,505,1,506,0.04
22,RAJENDIRAN T,Independent,566,5,571,0.05
23,VIGNESHWARAN A,Independent,606,0,606,0.05
24,VIJAYAN A,Independent,622,1,623,0.05
25,VELU R,Independent,1631,7,1638,0.14
26,NOTA,None of the Above,12223,94,12317,1.07
,Total, ,1144549,7180,1151729,
