SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KALIYAMOORTHY G,Bahujan Samaj Party,3917,26,3943,0.35
2,RAVIKUMAR D,Dravida Munnetra Kazhagam,556675,2910,559585,49.28
3,ABIRAMI P,Tamil Nadu Ilangyar Katchi,4719,20,4739,0.42
4,ANBIN POYYAMOZHI S,Makkal Needhi Maiam,17819,72,17891,1.58
5,PRAKALATHA D,Naam Tamilar Katchi,24480,129,24609,2.17
6,RAJA S,Agila India Makkal Kazhagam,2529,3,2532,0.22
7,VADIVEL RAVANAN S,Pattali Makkal Katchi,430091,1426,431517,38
8,ARASAN K,Independent,12778,3,12781,1.13
9,ANBALAGAN T,Independent,1312,2,1314,0.12
10,GANAPATHY N,Independent,57939,80,58019,5.11
11,KATHIRVEL M,Independent,994,1,995,0.09
12,DESINGU A,Independent,1348,2,1350,0.12
13,RAJASEKARAN M,Independent,4316,6,4322,0.38
14,NOTA,None of the Above,11882,61,11943,1.05
,Total, ,1130799,4741,1135540,
