SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"ALAGARSAMY, R.",Desiya Murpokku Dravida Kazhagam,315055,1274,316329,29.43
2,"PERUMALSAMY, M.",Bahujan Samaj Party,3707,63,3770,0.35
3,"MANICKAM TAGORE, B.",Indian National Congress,464667,6216,470883,43.81
4,"ARULMOZHITHEVAN, K.",Naam Tamilar Katchi,52591,449,53040,4.94
5,"KAVITHA, A.",Ahila India Dhayaga Makkal Munnetra Katchi,1632,133,1765,0.16
6,"SAKKARAVARTHY, P.",All India Puratchi Thalaivar Makkal Munnettra Kazhagam,2731,33,2764,0.26
7,"PACKIARAJ, E.",Tamil Nadu Ilangyar Katchi,1529,16,1545,0.14
8,"MANIKANDAN, R.",Ezhuchi Tamilargal Munnetra Kazhagam,1964,5,1969,0.18
9,"MUNIYASAMY, V.",Makkal Needhi Maiam,56815,314,57129,5.32
10,"ALAGARSAMY, N.",Independent,3723,17,3740,0.35
11,"ELANGO, S.",Independent,935,2,937,0.09
12,"UMAYORUBAGAM, M.",Independent,788,1,789,0.07
13,"GANESHKUMAR, S.",Independent,1622,2,1624,0.15
14,"KALYANASUNDARAM, A.",Independent,2479,8,2487,0.23
15,"GOVINDAN, A.",Independent,4194,5,4199,0.39
16,"SANKARANARAYANAN, N.",Independent,3701,4,3705,0.34
17,"SABARI PONRAJ, B.",Independent,5662,4,5666,0.53
18,"SUGAN RAJEEV, M.",Independent,2435,1,2436,0.23
19,"SENTHILKUMAR, S.",Independent,2714,3,2717,0.25
20,"SELVAKUMAR, M.",Independent,842,4,846,0.08
21,"ADVOCATE.THANGAPANDIAN, M.",Independent,1495,7,1502,0.14
22,"Dr.DHANUSHKODI, M.",Independent,3108,10,3118,0.29
23,"THIAGARAJAN, P.I.D.",Independent,850,3,853,0.08
24,"PARAMASIVA IYYAPPAN, S.",Independent,107033,582,107615,10.01
25,"PALANICHAMY KUDUMBAR, P.",Independent,1060,5,1065,0.1
26,"BACKIYARAJ, K.",Independent,822,3,825,0.08
27,"BALACHANDAR, N.",Independent,1812,2,1814,0.17
28,"VALLINAYAGAM, N.",Independent,2289,22,2311,0.22
29,NOTA,None of the Above,17087,205,17292,1.61
,Total, ,1065342,9393,1074735,
