SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Godam Nagesh,Telangana Rashtra Samithi,318665,149,318814,29.97
2,RATHOD RAMESH,Indian National Congress,314057,181,314238,29.54
3,SOYAM BAPU RAO,Bharatiya Janata Party,376892,482,377374,35.48
4,KUMRAM VANDANA,Nava Praja Rajyam Party,8005,2,8007,0.75
5,Dharavath Narendhar Naik,Janasena Party,5233,8,5241,0.49
6,Pawar Krishna,Rashtriya Jankranti Party,2702,3,2705,0.25
7,Bheemrao,Ambedkarite Party of India,6833,4,6837,0.64
8,Aare Ellanna,Independent,3019,0,3019,0.28
9,Kumra Raju,Independent,4388,0,4388,0.41
10,Ganta Pentanna,Independent,4548,0,4548,0.43
11,Nethavath Ramdas,Independent,5523,0,5523,0.52
12,NOTA,None of the Above,13030,6,13036,1.23
,Total, ,1062895,835,1063730,
