SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,517239,232,517471,58.95
2,PUSTHE SRIKANTH,Telangana Rashtra Samithi,63180,59,63239,7.2
3,Dr. BHAGAVANTH RAO,Bharatiya Janata Party,235056,229,235285,26.8
4,MOHAMMED FEROZ KHAN,Indian National Congress,49873,71,49944,5.69
5,DORNALA JAYA PRAKASH,New India Party,699,0,699,0.08
6,RANGACHARYA,Samajwadi Forward Bloc,408,0,408,0.05
7,L. ASHOK NATH,Independent,416,0,416,0.05
8,K. NAGARAJ,Independent,414,0,414,0.05
9,V. BAL KRISHNA,Independent,433,0,433,0.05
10,BEERAMGANTI VENKAT RAMESH NAIDU,Independent,399,0,399,0.05
11,MOHAMMED ABDUL AZEEM,Independent,329,0,329,0.04
12,MOHD AHMED,Independent,494,0,494,0.06
13,K. MAHESHWAR,Independent,419,1,420,0.05
14,SANJAY KUMAR SHUKLA,Independent,552,1,553,0.06
15,Dr. H. SUSHEEL RAJ,Independent,1715,0,1715,0.2
16,NOTA,None of the Above,5641,12,5653,0.64
,Total, ,877267,605,877872,
