SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ponnam Prabhaker,Indian National Congress,179140,118,179258,15.62
2,BANDI SANJAY KUMAR,Bharatiya Janata Party,497462,814,498276,43.42
3,BOIANAPALLI VINOD KUMAR,Telangana Rashtra Samithi,408560,208,408768,35.62
4,VENKANNA ANAGANDULA,Bahujan Samaj Party,9753,11,9764,0.85
5,ANILKUMAR CHINTHA,Pyramid Party of India,1269,0,1269,0.11
6,AILA PRASANNA,Anti Corruption Dynamic Party,1458,1,1459,0.13
7,PALLE PRASHANTH,Jai Swaraj Party,1056,0,1056,0.09
8,REDDY VENUGOPAL,Samajwadi Forward Bloc,1431,0,1431,0.12
9,KOTA SHYAMKUMAR,Independent,1454,0,1454,0.13
10,GANGARAPU THIRUPATHI,Independent,1814,0,1814,0.16
11,CHILIVERU SRIKANTH,Independent,3470,0,3470,0.3
12,DURVASA REDDY PAKALA,Independent,11635,2,11637,1.01
13,PABBA BHANU LAXMAN,Independent,6384,1,6385,0.56
14,MUKKISA RATHNAKAR REDDY,Independent,5851,0,5851,0.51
15,RAMESHBABU SHANIGARAPU,Independent,7826,0,7826,0.68
16,NOTA,None of the Above,7975,4,7979,0.7
,Total, ,1146538,1159,1147697,
