SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kalluri. Venkateswara Rao.,Communist Party of India,45694,25,45719,4.65
2,Kavitha Malothu,Telangana Rashtra Samithi,461824,285,462109,46.98
3,Jatothu Hussain,Bharatiya Janata Party,25333,154,25487,2.59
4,Balaram Naik Porika,Indian National Congress,315262,184,315446,32.07
5,Arun Kumar Mypathi,Telangana Jana Samithi,56969,104,57073,5.8
6,B. Parvathi,Pyramid Party of India,2300,2,2302,0.23
7,Balsingh Daravath,Bhartiya Anarakshit Party,5908,0,5908,0.6
8,"Bhaskar Naik Bhukya. Dr,,",Janasena Party,9788,23,9811,1
9,Uke Kousalya.,Independent,11054,4,11058,1.12
10,Kalthi Yarraiah,Independent,3846,5,3851,0.39
11,Palvancha. Durga.,Independent,3210,3,3213,0.33
12,Balu Nayak Bhukya,Independent,14865,1,14866,1.51
13,Mokalla. Murali Krishna.,Independent,6666,0,6666,0.68
14,Vaditya Shriram Naik,Independent,5942,2,5944,0.6
15,NOTA,None of the Above,14073,9,14082,1.43
,Total, ,982734,801,983535,
