SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARUNA D.K,Bharatiya Janata Party,333121,452,333573,33.88
2,CHALLA VAMSHI CHAND REDDY,Indian National Congress,193513,118,193631,19.67
3,MANNE SRINIVAS REDDY,Telangana Rashtra Samithi,411241,161,411402,41.78
4,IMRAN AHMED KHAN,Ambedkar National Congress,4459,3,4462,0.45
5,V. DASRAM NAYAK,Bahujan Mukti Party,2479,3,2482,0.25
6,E. Shivadurgavaraprasad Reddy,Indian Rakshaka Nayakudu Party,2010,2,2012,0.2
7,Azeez Khan M.A.,Independent,1499,0,1499,0.15
8,Imtiyaz Ahamad,Independent,8493,2,8495,0.86
9,JORIGHA VISHWESHWAR,Independent,2471,0,2471,0.25
10,D. Thimmappa,Independent,3488,1,3489,0.35
11,POLA PRASHANTH KUMAR,Independent,5783,0,5783,0.59
12,Munnurukapu Gopal Reddy,Independent,4735,0,4735,0.48
13,NOTA,None of the Above,10599,1,10600,1.08
,Total, ,983891,743,984634,
