SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANUMULA REVANTH REDDY,Indian National Congress,602907,841,603748,38.63
2,RAJASHEKAR REDDY MARRI,Telangana Rashtra Samithi,592485,344,592829,37.93
3,RAMCHANDER RAO NARAPARAJU,Bharatiya Janata Party,303851,431,304282,19.47
4,CHAMAKURA RAJAIAH,Social Justice Party of India,1350,1,1351,0.09
5,DHARMASANAM BHANUMURTHY,Praja Satta Party,719,1,720,0.05
6,BALAMANI BURU,India Praja Bandhu Party,1233,3,1236,0.08
7,MAHENDER REDDY BONGUNOORI,Janasena Party,28413,7,28420,1.82
8,CHALIKA CHANDRA SEKHAR,Independent,1178,2,1180,0.08
9,THIRUPATAIAH ENDURAM,Independent,3750,0,3750,0.24
10,DONTHULA BIKSHAPATHI,Independent,3307,1,3308,0.21
11,RAJENDER PONNALA,Independent,2680,0,2680,0.17
12,SAI KIRAN GONE,Independent,1660,4,1664,0.11
13,NOTA,None of the Above,17867,28,17895,1.14
,Total, ,1561400,1663,1563063,
