SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Anil Kumar Gali,Indian National Congress,279442,179,279621,24.31
2,Kotha Prabhakar Reddy,Telangana Rashtra Samithi,595830,218,596048,51.82
3,Madavaneni Raghunandan Rao,Bharatiya Janata Party,201243,324,201567,17.52
4,Bharatesh,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2442,3,2445,0.21
5,Madhava Reddy Gari Hanmantha Reddy,Shivsena,2624,0,2624,0.23
6,Merige Santhosh Reddy,Pyramid Party of India,1482,1,1483,0.13
7,Kallu Narsimlu Goud,Independent,3523,0,3523,0.31
8,Gajabhinkar Bansilal,Independent,14711,0,14711,1.28
9,Thummalapally Pruthviraj,Independent,18813,0,18813,1.64
10,Bangaru Krishna,Independent,13997,1,13998,1.22
11,NOTA,None of the Above,15383,7,15390,1.34
,Total, ,1149490,733,1150223,
