SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,POTHUGANTI RAMULU,Telangana Rashtra Samithi,499428,244,499672,50.48
2,DR MALLU RAVI,Indian National Congress,309732,192,309924,31.31
3,B YOSEF,Bahujan Samaj Party,12457,17,12474,1.26
4,SHRUTHI BANGARU ALIAS BANGARU SHRUTHI,Bharatiya Janata Party,128686,335,129021,13.03
5,V AMARNATH,India Praja Bandhu Party,2012,3,2015,0.2
6,GADDAM VIJAY,Bahujan Mukti Party,1750,0,1750,0.18
7,KARVANGA SHARATH,Independent,1848,4,1852,0.19
8,CHARAGONDA KRISHNAMMA,Independent,2276,0,2276,0.23
9,PRABHUDAS BANDARU THUMU,Independent,3466,0,3466,0.35
10,BAAKI RENUKA,Independent,3960,0,3960,0.4
11,SRINIVAS BUDDULA,Independent,9912,0,9912,1
12,NOTA,None of the Above,13521,4,13525,1.37
,Total, ,989048,799,989847,
