SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Agam Chandrasekhar,Indian National Congress,345955,186,346141,35.68
2,S.Kumar,Bharatiya Janata Party,92305,301,92606,9.55
3,Bala Kalyan Panja,Bahujan Samaj Party,10194,9,10203,1.05
4,Venkatesh Netha Borlakunta,Telangana Rashtra Samithi,441007,314,441321,45.49
5,Erugurala Bhagyalaxmi,Pyramid Party of India,4044,11,4055,0.42
6,S. Krishna,Secular Democratic Congress,3501,0,3501,0.36
7,Thadem Raju,India Praja Bandhu Party,1965,0,1965,0.2
8,Velthuru Mallaiah,Republican Party of India (Khobragade),2597,1,2598,0.27
9,Sabbani Krishna,Marxist Communist Party of India (United),6814,4,6818,0.7
10,Sankenapalli Devadas,Anti Corruption Dynamic Party,2215,0,2215,0.23
11,Arsham Ashok,Independent,2459,0,2459,0.25
12,Ambala Mahendar,Independent,6902,3,6905,0.71
13,Kuntala Narsaiah,Independent,18217,2,18219,1.88
14,Gaddala Vinay Kumar,Independent,6537,0,6537,0.67
15,Godisella Nagamani,Independent,3885,1,3886,0.4
16,Durgam. Rajanna,Independent,7383,1,7384,0.76
17,Rajesh Erikilla,Independent,4267,0,4267,0.44
18,NOTA,None of the Above,8951,20,8971,0.92
,Total, ,969198,853,970051,
