SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,B.B.PATIL,Telangana Rashtra Samithi,434066,178,434244,41.58
2,BANALA LAXMA REDDY,Bharatiya Janata Party,138731,216,138947,13.3
3,MADAN MOHAN RAO,Indian National Congress,427900,115,428015,40.98
4,ALIGE JEEVAN,Bahujan Mukti Party,6364,2,6366,0.61
5,KALESH,Bhartiya Anarakshit Party,6339,0,6339,0.61
6,MARK BABU,India Praja Bandhu Party,1572,1,1573,0.15
7,MOHAMMED NAWAZ,Ambedkar National Congress,1710,2,1712,0.16
8,SRINIVAS GOUD KASALA,Pyramid Party of India,1279,0,1279,0.12
9,NANGUNOORI LATHA,Independent,1866,3,1869,0.18
10,BENJAMIN RAJU,Independent,3279,2,3281,0.31
11,MUDIRAJ VENKATESHAM,Independent,5581,0,5581,0.53
12,RAMARAO PATIL,Independent,4018,1,4019,0.38
13,NOTA,None of the Above,11138,2,11140,1.07
,Total, ,1043843,522,1044365,
