SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Jitendra Chaudhury,Communist Party of India (Marxist),200497,466,200963,19.22
2,Narendra Chandra DebBarma,Indigenous People's Front of Tripura,45153,151,45304,4.33
3,Maharaj kumari Pragya DebBurman,Indian National Congress,276517,1319,277836,26.58
4,Rebati Tripura,Bharatiya Janata Party,479634,2492,482126,46.12
5,Karnadhan Chakma,Amra Bangalee,6920,24,6944,0.66
6,Amar Debbarma,Independent,3698,8,3706,0.35
7,Chitta Ranjan Debbarma,Independent,3620,8,3628,0.35
8,Dipti Halam,Independent,3833,6,3839,0.37
9,Bijoy DebBarma,Independent,5273,3,5276,0.5
10,Subir Kumar Jamatia,Independent,4571,10,4581,0.44
11,NOTA,None of the Above,11197,17,11214,1.07
,Total, ,1040913,4504,1045417,
