SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Pratima Bhoumik,Bharatiya Janata Party,570021,3511,573532,51.77
2,Brishaketu Debbarma,Indigenous People's Front of Tripura,43764,461,44225,3.99
3,Maman Khan,All India Trinamool Congress,8552,61,8613,0.78
4,Sankar Prasad Datta,Communist Party of India (Marxist),171175,651,171826,15.51
5,Subal Bhowmik,Indian National Congress,266275,1568,267843,24.18
6,Arun Kumar Bhaumik,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4517,8,4525,0.41
7,Kabrabam Dhirendra Singha,Tripura Peoples Party,2060,16,2076,0.19
8,Jayki Murasing,Ambedkarite Party of India,7121,12,7133,0.64
9,Prabir Debnath,Amra Bangalee,2749,15,2764,0.25
10,Narayan Chandra Dey,Independent,2019,10,2029,0.18
11,Pradip Chakraborty,Independent,3526,10,3536,0.32
12,Brajalal Debnath,Independent,3315,7,3322,0.3
13,Subal Sarkar,Independent,4363,8,4371,0.39
14,NOTA,None of the Above,11905,55,11960,1.08
,Total, ,1101362,6393,1107755,
