SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Preeta Harit,Indian National Congress,44877,272,45149,3.94
2,Manoj Kumar Soni,Bahujan Samaj Party,434199,1130,435329,38.01
3,Satyapal Singh Baghel,Bharatiya Janata Party,644459,2416,646875,56.48
4,Chandra Pal,Adarsh Samaj Party,2798,4,2802,0.24
5,Raja,Rashtriya Vyapari Party,1323,3,1326,0.12
6,Ramji Lal Vidhyarthi,Peace Party,1462,6,1468,0.13
7,Himanshi,Lok Gathbandhan Party,1405,3,1408,0.12
8,Ambedkari Hasnuram Ambedkari,Independent,2767,1,2768,0.24
9,Babu Lal,Independent,2379,2,2381,0.21
10,NOTA,None of the Above,5786,31,5817,0.51
,Total, ,1141455,3868,1145323,
