SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Devendra Singh 'Bhole',Bharatiya Janata Party,577603,3679,581282,56.69
2,Nisha Sachan,Bahujan Samaj Party,304553,1587,306140,29.86
3,Rajaram Pal,Indian National Congress,107592,749,108341,10.57
4,Amit Tripathi,Adhunik Bharat Party,1971,5,1976,0.19
5,Ashok Paswan,Sabhi Jan Party,864,2,866,0.08
6,Mahendra Singh Yadav,Pragatishil Samajwadi Party (Lohia),2005,42,2047,0.2
7,Ravi Sachan,Janata Dal (United),1024,4,1028,0.1
8,Prof. Ramgopal Sankhwar,Rashtriya Janutthan Party,770,6,776,0.08
9,Saurabh Mishra,Bhartiya Shakti Chetna Party,2928,12,2940,0.29
10,Arun Kumar,Independent,1573,5,1578,0.15
11,Niraj Kumar Pasi Advocate,Independent,1626,1,1627,0.16
12,Manoj Gupta,Independent,3269,1,3270,0.32
13,Vikas Tripathi,Independent,2231,3,2234,0.22
14,Sunil Kumar,Independent,3214,1,3215,0.31
15,NOTA,None of the Above,7919,75,7994,0.78
,Total, ,1019142,6172,1025314,
