SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR. AJEET BALIYAN,Bahujan Samaj Party,424890,2064,426954,36.71
2,BIJENDRA SINGH CHAUDHARY,Indian National Congress,50346,534,50880,4.37
3,SATISH KUMAR GAUTAM,Bharatiya Janata Party,651805,4410,656215,56.42
4,AMAR SINGH MAHAUR,Swatantra Jantaraj Party,3678,3,3681,0.32
5,DILEEP SHARMA,Peace Party,1044,1,1045,0.09
6,DEEPAK CHAUDHARY,Pragatishil Samajwadi Party (Lohia),4931,22,4953,0.43
7,THAKUR MANOJ SINGH,Rashtravadi Party (Bharat),1222,3,1225,0.11
8,MOHD. SHAKEEL (ADV.),Lok Dal,836,5,841,0.07
9,SATISH CHANDRA SHARMA,Aam Aadmi Party,816,13,829,0.07
10,SANJAY BALMIKI,Bhartiya Bhaichara Party,824,12,836,0.07
11,ASHOK KUMAR PANDEY,Independent,796,1,797,0.07
12,CHARAN SINGH,Independent,1173,2,1175,0.1
13,LAXMI DHANGAR,Independent,5857,29,5886,0.51
14,SHAHEEN,Independent,1596,3,1599,0.14
15,NOTA,None of the Above,6216,52,6268,0.54
,Total, ,1156030,7154,1163184,
