SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Girdhar Gopal Tripathi,Communist Party of India,10397,6,10403,1.17
2,Yogesh Shukla,Indian National Congress,31852,101,31953,3.59
3,Rajendra Singh Patel,Samajwadi Party,309328,851,310179,34.89
4,Rita Bahuguna Joshi,Bharatiya Janata Party,493204,1250,494454,55.62
5,Ajeet Kumar Patel,Pragatisheel Samaj Party,6261,6,6267,0.7
6,Abhimanyu Singh Patel,Pragatishil Samajwadi Party (Lohia),2214,3,2217,0.25
7,Om Guru Charandas,Sanatan Sanskriti Raksha Dal,2278,0,2278,0.26
8,Gayatri Prasad,Bhartiya Shakti Chetna Party,1516,1,1517,0.17
9,Bhawani Singh,Aam Aadmi Party,1840,5,1845,0.21
10,Ram Pal Gupta,Parivartan Samaj Party,3367,1,3368,0.38
11,Shiv Dutt Shukla,Annadata Party,5146,1,5147,0.58
12,Shiv Prasad,Lok Gathbandhan Party,4117,1,4118,0.46
13,Ajay Sharma,Independent,4731,0,4731,0.53
14,Rabindra Kumar Shrivastav,Independent,2954,0,2954,0.33
15,NOTA,None of the Above,7610,15,7625,0.86
,Total, ,886815,2241,889056,
