SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Mukut Bihari,Bharatiya Janata Party,467287,951,468238,42.95
2,Ritesh Pandey,Bahujan Samaj Party,563445,673,564118,51.75
3,Ayodhya,Bharat Prabhat Party,5449,23,5472,0.5
4,Ashutosh,Moulik Adhikar Party,4162,1,4163,0.38
5,Parshuram Patel,Hindusthan Nirman Dal,2440,3,2443,0.22
6,Premnath Nishad,Pragatishil Samajwadi Party (Lohia),2385,5,2390,0.22
7,Mastram Kori,Swatantra Jantaraj Party,1959,0,1959,0.18
8,Rakesh,Suheldev Bharatiya Samaj Party,15164,3,15167,1.39
9,Ram Singar,Voters Party International,2224,0,2224,0.2
10,Sushila Dinkar,Bahujan Mukti Party,6054,11,6065,0.56
11,Taigar Ramnihor Patel 'Ratnashah',Independent,6567,2,6569,0.6
12,NOTA,None of the Above,11329,15,11344,1.04
,Total, ,1088465,1687,1090152,
