SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Rahul Gandhi,Indian National Congress,412867,527,413394,43.86
2,Smriti Irani,Bharatiya Janata Party,467598,916,468514,49.71
3,Afajal Varis,Bahujan Mukti Party,6177,6,6183,0.66
4,Gopal Swaroop Gandhi,Kisan Majdoor Berojgar Sangh,1574,0,1574,0.17
5,Durgesh Singh,Bharat Prabhat Party,956,2,958,0.1
6,Nathu Ram,Janvadi Party(Socialist),846,1,847,0.09
7,Prem Shankar,Moulik Adhikar Party,1728,1,1729,0.18
8,Pankaj Ramkumar Sing,Akhand Rashtrawadi Party,1057,0,1057,0.11
9,Bas Deo Maurya,Communist Party of India (Marxist-Leninist) Red Star,986,2,988,0.1
10,Ram Milan,Rashtriya Apna Dal,1144,0,1144,0.12
11,Ram Sidh Yadav,Manavtawadi Samaj Party,3052,3,3055,0.32
12,Shatrunjai Pratap Singh,Lok Gathbandhan Party,1716,0,1716,0.18
13,SHIV Nandan Singh,Bharatiya Sampuran Krantikari Party,1947,1,1948,0.21
14,Gopal Prasad,Independent,3177,0,3177,0.34
15,Dinesh Kumar,Independent,4301,0,4301,0.46
16,Dhurv lal,Independent,7816,0,7816,0.83
17,Bhagwandeen,Independent,3860,0,3860,0.41
18,Ram Sajiwan,Independent,5616,0,5616,0.6
19,Lal Babu,Independent,2318,0,2318,0.25
20,Vipin Yadav,Independent,1039,0,1039,0.11
21,Shiv Kumar,Independent,495,0,495,0.05
22,Dr. U.P. Shivananda,Independent,546,1,547,0.06
23,Saritha S. Nair,Independent,568,1,569,0.06
24,Suresh Kumar Shukla,Independent,779,0,779,0.08
25,Mo. Hasan Lahari,Independent,1224,0,1224,0.13
26,Harun Rasheed,Independent,2083,2,2085,0.22
27,Hemant Kumar,Independent,1580,0,1580,0.17
28,NOTA,None of the Above,3931,9,3940,0.42
,Total, ,940981,1472,942453,
