SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Akhilesh Yadav,Samajwadi Party,619594,1984,621578,60.4
2,Dinesh Lal Yadav Nirahua,Bharatiya Janata Party,360255,1449,361704,35.15
3,Anil Singh,Rashtriya Ulama Council,6761,2,6763,0.66
4,Abhimanyu Singh Sunny,Suheldev Bharatiya Samaj Party,10077,1,10078,0.98
5,Arvind Kumar Pandey,Nagrik Ekta Party,947,2,949,0.09
6,Ehsan Ahmed,Naitik Party,976,0,976,0.09
7,Pawan Singh Samrat,Aam Janta Party (India),1106,0,1106,0.11
8,Pramod Tiwari,Janhit Kisan Party,3148,0,3148,0.31
9,Mohinder Kumar,Sarvshreshth Dal,2899,2,2901,0.28
10,Gorakhram Nishad,Independent,1247,3,1250,0.12
11,Gaurav Singh,Independent,1431,1,1432,0.14
12,Budhi Ram,Independent,2098,0,2098,0.2
13,Rajaram Gond,Independent,1930,1,1931,0.19
14,Rajiv Talwar,Independent,2203,1,2204,0.21
15,Dr. Rajeev Pandey,Independent,3737,2,3739,0.36
16,NOTA,None of the Above,7239,16,7255,0.7
,Total, ,1025648,3464,1029112,
