SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dharmendra Yadav,Samajwadi Party,491959,939,492898,45.59
2,Saleem Iqbal Shervani,Indian National Congress,51896,51,51947,4.8
3,Dr. Sanghmitra Maurya,Bharatiya Janata Party,510343,1009,511352,47.3
4,Kailash Kumar Mishra,All India Forward Bloc,4346,1,4347,0.4
5,Mahesh Shrivastav,Kalyankari Jantantrik Party,1333,3,1336,0.12
6,Atul Kumar,Independent,1680,1,1681,0.16
7,Kirpa Shankar Shakya,Independent,2218,1,2219,0.21
8,Swami Paglanand,Independent,4085,0,4085,0.38
9,Hari Singh,Independent,2636,1,2637,0.24
10,NOTA,None of the Above,8602,4,8606,0.8
,Total, ,1079098,2010,1081108,
