SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AKSHAIBAR LAL,Bharatiya Janata Party,525512,470,525982,53.14
2,SHABBIR BALMIKI,Samajwadi Party,396843,387,397230,40.13
3,SAVITRI BAI PHULE,Indian National Congress,34383,71,34454,3.48
4,JAGDISH KUMAR SINGH,Pragatishil Samajwadi Party (Lohia),2488,1,2489,0.25
5,MAUJILAL,Rashtriya Jan Adhikar Party (United),1662,0,1662,0.17
6,RAM SAGAR,Rashtriya Kranti Party,1581,0,1581,0.16
7,RINKU SAHANI,Shivsena,2423,4,2427,0.25
8,GUR PRASAD,Independent,2131,0,2131,0.22
9,JANARDAN GOND,Independent,5179,0,5179,0.52
10,SHIVNANDAN,Independent,3524,0,3524,0.36
11,NOTA,None of the Above,13184,5,13189,1.33
,Total, ,988910,938,989848,
