SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Upendra Singh Rawat,Bharatiya Janata Party,535594,323,535917,46.39
2,Tanuj Punia,Indian National Congress,159575,36,159611,13.82
3,Ram Sagar Rawat,Samajwadi Party,425624,153,425777,36.85
4,Asha Devi,Lok Dal,5761,1,5762,0.5
5,Om kar,Bahujan Mukti Party,1369,2,1371,0.12
6,Kalpana Rawat,Bharat Prabhat Party,1048,1,1049,0.09
7,Tarawati,Awami Samta Party,1920,1,1921,0.17
8,Fool Dulari,Samdarshi Samaj Party,1622,2,1624,0.14
9,Vinod Kumar,Aam Janta Party (India),1622,0,1622,0.14
10,Santosh Kumari,Dr. Bhimrao Ambedkar Dal,1549,0,1549,0.13
11,Kishan Lal,Independent,2288,1,2289,0.2
12,Molhey Ram Rawat,Independent,4380,1,4381,0.38
13,Manju Devi,Independent,3683,0,3683,0.32
14,NOTA,None of the Above,8783,2,8785,0.76
,Total, ,1154818,523,1155341,
