SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PRAVEEN SINGH ARON,Indian National Congress,74003,203,74206,6.95
2,BHAGWAT SARAN GANGWAR,Samajwadi Party,397403,585,397988,37.25
3,SATISH KUMAR,Communist Party of India,7515,4,7519,0.7
4,SANTOSH KUMAR GANGWAR,Bharatiya Janata Party,563533,1737,565270,52.91
5,JAGPAL SINGH YADAV,Akhand Samaj Party,2653,2,2655,0.25
6,MANOJ VIKAT,Bahujan Nyay Dal,681,0,681,0.06
7,YATENDRA SINGH,Bahujan Samyak Party (Mission),498,3,501,0.05
8,RAHEESH MIYA,VANCHITSAMAJ INSAAF PARTY,644,1,645,0.06
9,RABIYA AKHTAR,Khusro Sena Party,687,0,687,0.06
10,LAEEK AHMAD MANSOORI,Naitik Party,851,0,851,0.08
11,SAMAN TAHIR,Pragatishil Samajwadi Party (Lohia),2482,6,2488,0.23
12,USHA AGARWAL,Independent,1071,1,1072,0.1
13,ZAVED KHAN,Independent,2789,0,2789,0.26
14,NITIN MOHAN,Independent,1192,1,1193,0.11
15,RAKESH AGARWAL ADVOCATE,Independent,1985,1,1986,0.19
16,SYED RASHID ALI CHAMAN,Independent,3984,3,3987,0.37
17,NOTA,None of the Above,3797,27,3824,0.36
,Total, ,1065768,2574,1068342,
