SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAJ KISHOR SINGH,Indian National Congress,86453,467,86920,8.24
2,RAM PRASAD CHAUDHARY,Bahujan Samaj Party,437641,3167,440808,41.8
3,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,469214,1948,471162,44.68
4,PANKAJ DUBEY,Lok Gathbandhan Party,7340,5,7345,0.7
5,PRAMOD SHUKLA,"Rashtrawadi Party of India,",2678,2,2680,0.25
6,RAM PRASAD CHAURASIYA,Janhit Kisan Party,3734,3,3737,0.35
7,ROHIT KUMAR PATHAK,Hindusthan Nirman Dal,3179,3,3182,0.3
8,VINOD KUMAR RAJBHAR,Suheldev Bharatiya Samaj Party,11960,11,11971,1.14
9,CHANDRA MANI PANDEY,Independent,3161,9,3170,0.3
10,BHAGWANDAS,Independent,5589,1,5590,0.53
11,RANGI LAL YADAV,Independent,7638,1,7639,0.72
12,NOTA,None of the Above,10298,37,10335,0.98
,Total, ,1048885,5654,1054539,
