SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Akhilesh,Nationalist Congress Party,4558,12,4570,0.44
2,RAMAKANT,Indian National Congress,25508,96,25604,2.46
3,RAMESH CHAND,Bharatiya Janata Party,508989,1040,510029,49.07
4,RANGNATH MISHRA,Bahujan Samaj Party,465412,1002,466414,44.87
5,Dr Rajesh Kumar Verma,Peoples Party of India (Democratic),4647,1,4648,0.45
6,VINOD,Hindusthan Nirman Dal,1943,0,1943,0.19
7,KULDEEP,Independent,1644,2,1646,0.16
8,RAM SAKHA,Independent,1764,0,1764,0.17
9,Satish Bahadur,Independent,1819,0,1819,0.18
10,SUSHIL,Independent,4052,0,4052,0.39
11,SAIYYAD MOHAMMAD ARIF,Independent,5050,0,5050,0.49
12,SANTLAL,Independent,2764,0,2764,0.27
13,NOTA,None of the Above,9079,8,9087,0.87
,Total, ,1037229,2161,1039390,
