SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NASIMUDDIN SIDDIQUI,Indian National Congress,25699,134,25833,2.35
2,RAJA BHARATENDRA SINGH,Bharatiya Janata Party,488061,3043,491104,44.61
3,MALOOK NAGAR,Bahujan Samaj Party,559824,1221,561045,50.97
4,ILAMSINGH,Pragatishil Samajwadi Party (Lohia),3970,9,3979,0.36
5,ANSH CHAITANYA MAHARAJ,Hindusthan Nirman Dal,1160,2,1162,0.11
6,PARVEZ AKIL,All India Minorities Front,629,0,629,0.06
7,BABLOO RAM,Bharatiya Sarvodaya Kranti Party,827,2,829,0.08
8,MANGERAM,Peoples Party of India (Democratic),842,1,843,0.08
9,MUKESH KUMAR,All India Forward Bloc,2817,0,2817,0.26
10,RAJIV CHOUDHARY,Bhartiya Kisan Party,1078,7,1085,0.1
11,SONU,Jansatta Party,1535,0,1535,0.14
12,MOHD. ZAHID,Independent,3237,1,3238,0.29
13,MAHAK SINGH,Independent,2260,0,2260,0.21
14,NOTA,None of the Above,4374,30,4404,0.4
,Total, ,1096313,4450,1100763,
