SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BANSHI SINGH,Indian National Congress,29288,177,29465,2.62
2,BHOLA SINGH,Bharatiya Janata Party,677196,4125,681321,60.64
3,YOGESH VERMA,Bahujan Samaj Party,390458,806,391264,34.82
4,PRAMOD KUMAR,Rashtriya Samaj Paksha,3657,7,3664,0.33
5,REENA DEVI,National Bhrashtachar Mukt Party,1434,19,1453,0.13
6,VINAY KUMAR SINGH,Aapki Apni Party (Peoples),916,1,917,0.08
7,SATISH,Bharatiya Bahujan Parivartan Party,1259,9,1268,0.11
8,MANOJ KUMAR SINGH,Independent,3386,2,3388,0.3
9,RADHIKA DEVI,Independent,5152,18,5170,0.46
10,NOTA,None of the Above,5696,23,5719,0.51
,Total, ,1118442,5187,1123629,
