SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dr. Mahendra Nath Pandey,Bharatiya Janata Party,508113,2620,510733,47.07
2,Sanjay Singh Chauhan,Samajwadi Party,494689,2085,496774,45.79
3,Arjun Pandey,Atulya Bharat Party,4086,10,4096,0.38
4,Krishna Pratap Singh,Samagra Utthan Party,2741,3,2744,0.25
5,Jangbahadur,Bhartiya Manav Samaj Party,1166,6,1172,0.11
6,Byasmuni,Kanshiram Bahujan Dal,829,9,838,0.08
7,Mahendra Pratap Singh,Al-Hind Party,1127,0,1127,0.1
8,Mahender Yadav,Pragatisheel Manav Samaj Party,4218,7,4225,0.39
9,Rajesh Vishwakarma,Moulik Adhikar Party,3077,4,3081,0.28
10,Ramgovind,Suheldev Bharatiya Samaj Party,18971,14,18985,1.75
11,Shivkanya Kushwaha,Jan Adhikar Party,22190,101,22291,2.05
12,Shivratri,Prithviraj Janshakti Party,2260,1,2261,0.21
13,Liyakat Ali,Independent,5411,5,5416,0.5
14,NOTA,None of the Above,11182,36,11218,1.03
,Total, ,1080060,4901,1084961,
