SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NIYAZ AHMED,Indian National Congress,50749,307,51056,5.03
2,BINOD KUMAR JAISWAL,Bahujan Samaj Party,327728,2985,330713,32.57
3,RAMAPATI RAM TRIPATHI,Bharatiya Janata Party,577617,3027,580644,57.19
4,ISRAR AHAMAD,Bharatiya Aavaam Ekta Party,8158,6,8164,0.8
5,ONKAR SINGH,Samajwadi Samaj Party,2386,31,2417,0.24
6,CHANDAN KUMAR YADAV,Rashtriya Ulama Council,3299,6,3305,0.33
7,JITENDRA,Suheldev Bharatiya Samaj Party,4867,1,4868,0.48
8,BIRJA,Peace Party,3209,0,3209,0.32
9,MANOJ KUMAR MISHRA,Manuvadi Party,3957,5,3962,0.39
10,BRIJENDRA MANI TRIPATHI,Independent,5702,0,5702,0.56
11,RAMASHISH RAI,Independent,7866,36,7902,0.78
12,NOTA,None of the Above,13358,63,13421,1.32
,Total, ,1008896,6467,1015363,
