SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARSHAD ILIYAS SIDDIQUI,Bahujan Samaj Party,352093,201,352294,33.12
2,KUNWAR JITIN PRASADA,Indian National Congress,162727,129,162856,15.31
3,REKHA VERMA,Bharatiya Janata Party,512582,323,512905,48.21
4,ANIL KUMAR ' RAJVANSHI',Bahujan Awam Party,9287,1,9288,0.87
5,BALJEET KAUR,Hindusthan Nirman Dal,3165,1,3166,0.3
6,MALKHAN SINGH RAJPOOT,Pragatishil Samajwadi Party (Lohia),4288,0,4288,0.4
7,MUKESH KUMAR,Shivsena,3556,0,3556,0.33
8,REETU VERMA 'DIDI',Independent,4688,1,4689,0.44
9,NOTA,None of the Above,10792,6,10798,1.02
,Total, ,1063178,662,1063840,
