SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AFTAB ALAM,Bahujan Samaj Party,386901,31,386932,39.27
2,CHANDRASH ALIAS CHANDRESH KUMAR UPADHYAY,Indian National Congress,60538,11,60549,6.15
3,JAGDAMBIKA PAL,Bharatiya Janata Party,492145,108,492253,49.96
4,ARJUN SINGH LODHI,Bahujan Mukti Party,8265,0,8265,0.84
5,KESHARI NANDAN,Sabka Dal United,3066,0,3066,0.31
6,KESHAV RAJBHAR,Suheldev Bharatiya Samaj Party,3809,0,3809,0.39
7,BRIJESH KUMAR,Janhit Kisan Party,4097,0,4097,0.42
8,MOHAMMAD IRFAN,Peace Party,5765,0,5765,0.59
9,SANJAY KUMAR CHAUHAN,Nagrik Ekta Party,5029,1,5030,0.51
10,SHARWAN KUMAR,Independent,3746,0,3746,0.38
11,NOTA,None of the Above,11754,3,11757,1.19
,Total, ,985115,154,985269,
