SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ku. Devendra Singh Yadav,Samajwadi Party,422054,624,422678,42.28
2,Rajveer Singh (Raju Bhaiya),Bharatiya Janata Party,544267,1081,545348,54.56
3,Atar Singh,Rashtriya Shoshit Samaj Party,5104,6,5110,0.51
4,Anuj Kumar,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),834,4,838,0.08
5,Anand Prakash Singh Rajput,Rashtriya Backward Party,582,2,584,0.06
6,Naresh Chandra,Bhartiya Shakti Chetna Party,480,2,482,0.05
7,Bharat Singh,Rashtriya Kranti Party,665,1,666,0.07
8,Rashmi Yadav,Pragatishil Samajwadi Party (Lohia),1459,11,1470,0.15
9,Suraj Singh,Jan Adhikar Party,5121,5,5126,0.51
10,Ashok Kumar,Independent,540,2,542,0.05
11,Indrapal,Independent,711,1,712,0.07
12,Parvati Nandan,Independent,1858,0,1858,0.19
13,Satendra Kumar Panda,Independent,1577,0,1577,0.16
14,Hari Om,Independent,6337,2,6339,0.63
15,NOTA,None of the Above,6264,13,6277,0.63
,Total, ,997853,1754,999607,
