SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ASHOK KUMAR DOHARE,Indian National Congress,16460,110,16570,1.61
2,KAMLESH KUMAR,Samajwadi Party,455957,1725,457682,44.53
3,Dr RAM SHANKAR KATHERIA,Bharatiya Janata Party,519674,2445,522119,50.8
4,AKSHASH KRISHNA,Pichhra Samaj Party,4064,9,4073,0.4
5,AJAY KUMAR,Bhartiya Jan Nayak Party,850,5,855,0.08
6,ARUN KUMAR,Jan Samman party,837,3,840,0.08
7,ARTI DEVI,Mahasankalp Janta Party,1481,12,1493,0.15
8,LALTA PRASAD,Voters Party International,1265,1,1266,0.12
9,SHAMBHU DAYAL DOHARE,Pragatishil Samajwadi Party (Lohia),8657,18,8675,0.84
10,SITA,Bhartiya Shakti Chetna Party,1153,1,1154,0.11
11,DALVEER SINGH,Independent,2111,1,2112,0.21
12,POOJA,Independent,2504,4,2508,0.24
13,SANJAY KUMAR,Independent,2857,1,2858,0.28
14,NOTA,None of the Above,5580,30,5610,0.55
,Total, ,1023450,4365,1027815,
