SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NIRANJAN JYOTI,Bharatiya Janata Party,563715,2325,566040,54.24
2,RAKESH SACHAN,Indian National Congress,65738,339,66077,6.33
3,SUKHDEV PRASAD VERMA,Bahujan Samaj Party,366167,1668,367835,35.24
4,ASHOK KUMAR MISHRA,Janhit Bharat Party,5266,12,5278,0.51
5,MAHESH CHANDRA SAHU,Pragatishil Samajwadi Party (Lohia),2706,12,2718,0.26
6,RAJKUMAR LODHI,Vikas Insaf Party,2454,3,2457,0.24
7,RAMKUMAR,Peoples Party of India (Democratic),2779,1,2780,0.27
8,KAMTA PRASAD,Independent,3794,2,3796,0.36
9,JUBER AHMAD,Independent,4903,3,4906,0.47
10,BENI PRASAD,Independent,7072,4,7076,0.68
11,NOTA,None of the Above,14640,52,14692,1.41
,Total, ,1039234,4421,1043655,
