SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAJKUMAR CHAHAR,Bharatiya Janata Party,662794,4353,667147,64.32
2,RAJ BABBAR,Indian National Congress,170889,1193,172082,16.59
3,SHREEBHAGWAN SHARMA,Bahujan Samaj Party,167517,526,168043,16.2
4,NAWAB GUL CHAMAN SHERWANI,VANCHITSAMAJ INSAAF PARTY,2198,1,2199,0.21
5,MANISHA SINGH,Pragatishil Samajwadi Party (Lohia),1026,14,1040,0.1
6,VIJAY SINGH DHANGAR,Rashtriya Shoshit Samaj Party,1804,4,1808,0.17
7,SATYENDRA BAGHEL,Aam Janta Party (India),959,6,965,0.09
8,SARVESH KUMAR,Bharatiya Majdoor Janta Party,820,2,822,0.08
9,SADAB NOOR,Adarsh Samaj Party,620,1,621,0.06
10,ANIL KUMAR KUSHWAHA,Independent,1442,1,1443,0.14
11,ARTI SHARMA,Independent,994,0,994,0.1
12,PASTAR THOMSAN MASSY,Independent,1103,0,1103,0.11
13,NARESH KUMAR,Independent,1580,1,1581,0.15
14,PURUSHOTTAM DAS (FAUZI BHAI),Independent,3415,14,3429,0.33
15,RAM BAHORI,Independent,3179,3,3182,0.31
16,NOTA,None of the Above,10664,28,10692,1.03
,Total, ,1031004,6147,1037151,
