SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dr. ARVIND KUMAR SINGH,Indian National Congress,41960,117,42077,3.02
2,Dr. MAHESH SHARMA,Bharatiya Janata Party,828164,2648,830812,59.64
3,SATVEER,Bahujan Samaj Party,493421,469,493890,35.46
4,JAGDEEP SINGH,Loktantrik Janshakti Party,2723,2,2725,0.2
5,JITENDRA SINGH,Pragatishil Samajwadi Party (Lohia),1852,10,1862,0.13
6,DAYARAM,Aapki Apni Party (Peoples),543,2,545,0.04
7,RAGHUVENDRA KUMAR,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),629,2,631,0.05
8,RAM PAL,Rashtriya Samaj Paksha,1291,3,1294,0.09
9,VINOD KUMAR NAGAR,Rashtriya Bharatiya Jan Jan Party,1360,6,1366,0.1
10,VINOD SHARMA,All Indian Rajiv Congress Party,1280,2,1282,0.09
11,SHERSINGH UPADHAYA,Rashtriya Janta Party,1260,4,1264,0.09
12,ASHOK KUMAR ADHANA,Independent,3929,10,3939,0.28
13,RODASH GUPTA,Independent,2892,2,2894,0.21
14,NOTA,None of the Above,8351,20,8371,0.6
,Total, ,1389655,3297,1392952,
