SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dolly Sharma,Indian National Congress,111730,214,111944,7.34
2,Vijay Kumar Singh,Bharatiya Janata Party,942576,1927,944503,61.96
3,Suresh Bansal,Samajwadi Party,442615,388,443003,29.06
4,Ashok Sharma,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),2447,3,2450,0.16
5,Divya Yog Maya Saraswati,Rashtriya Bharatiya Jan Jan Party,923,2,925,0.06
6,Nagendra Kumar,Shivsena,713,1,714,0.05
7,Mohan Lal,Republican Party of India (A),1148,2,1150,0.08
8,Rakesh Suri,Right to Recall Party,707,2,709,0.05
9,Mohd. Salim Ahmed,Sabse Achchhi Party,801,3,804,0.05
10,Sunil Nair,Rashtriya Lok Sarvadhikar Party,3942,2,3944,0.26
11,Sewa Ram Kasana,Pragatishil Samajwadi Party (Lohia),4377,3,4380,0.29
12,Amit Sharma,Independent,2435,0,2435,0.16
13,NOTA,None of the Above,7478,17,7495,0.49
,Total, ,1521892,2564,1524456,
