SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ATUL KUMAR SINGH,Communist Party of India,14622,22,14644,1.28
2,ATUL KUMAR SINGH,Bahujan Samaj Party,572459,1370,573829,50.3
3,BALKRISHNA,Indian National Congress,23695,117,23812,2.09
4,HARINARAYAN,Bharatiya Janata Party,449212,2049,451261,39.56
5,ABUSHAD,Akhand Samaj Party,4908,6,4914,0.43
6,KISHAN LAL,Rashtriya Krantikari Samajwadi Party,3508,27,3535,0.31
7,GEETA,Ambedkar Samaj Party,1361,6,1367,0.12
8,PARAS,Rashtriya Jantantrik Bharat Vikas Party,1599,1,1600,0.14
9,MAHENDRA,Suheldev Bharatiya Samaj Party,39842,18,39860,3.49
10,SHEFKAT TAKI,Peace Party,3960,0,3960,0.35
11,PRAVEEN KUMAR SINGH,Independent,1230,0,1230,0.11
12,RAJESH,Independent,3653,8,3661,0.32
13,SURYA KUMAR,Independent,2156,3,2159,0.19
14,SURJEET KUMAR,Independent,2884,2,2886,0.25
15,SANTOSH,Independent,6737,2,6739,0.59
16,NOTA,None of the Above,5291,33,5324,0.47
,Total, ,1137117,3664,1140781,
