SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KIRTI VARDHAN SINGH ALIAS RAJA BHAIYA,Bharatiya Janata Party,507276,914,508190,55.01
2,SMT KRISHNA PATEL,Indian National Congress,25646,40,25686,2.78
3,VINOD KUMAR ALIAS PANDIT SINGH,Samajwadi Party,341179,651,341830,37
4,ASMAN DATT MISHRA,Bharat Prabhat Party,3732,2,3734,0.4
5,"QUTUBUDDIN KHAN ""DIMOND""",Pragatishil Samajwadi Party (Lohia),6210,2,6212,0.67
6,MOHD. JAVED ANSARI,"Vishwa Manav Samaj Kalyan Parishad,",1529,0,1529,0.17
7,DHANI RAM CHAUDHRI,Rashtriya Jansambhavna Party,3539,1,3540,0.38
8,PEER ALI KHAN,Kisan Mazdoor Sangharsh Party,1936,0,1936,0.21
9,MUBARAK ALI,All India Forward Bloc,2830,0,2830,0.31
10,RADHEY SHYAM ALIAS PAPPU RAJBHAR,Suheldev Bharatiya Samaj Party,3854,2,3856,0.42
11,HAFIZ ALI,Peace Party,2103,1,2104,0.23
12,MO. ARBI,Independent,2568,0,2568,0.28
13,NARENDRA SINGH,Independent,3265,0,3265,0.35
14,MAHESH SINGH,Independent,5475,0,5475,0.59
15,VINOD KUMAR SINGH,Independent,2641,2,2643,0.29
16,NOTA,None of the Above,8401,17,8418,0.91
,Total, ,922184,1632,923816,
