SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dr. Ashish Kumar Singh,Communist Party of India,8157,15,8172,0.69
2,Madhusudan Tripathi,Indian National Congress,22855,117,22972,1.94
3,Ravindra Shyamnarayan Shukla alias Ravi Kishan,Bharatiya Janata Party,715010,2112,717122,60.54
4,Rambhual Nishad,Samajwadi Party,414340,1118,415458,35.07
5,Abhishek Chand,Suheldev Bharatiya Samaj Party,4317,2,4319,0.36
6,Awadhesh Kumar Singh,Shane Hind Fourm,1305,1,1306,0.11
7,Jai Prakash Mishra,"Rashtrawadi Party of India,",1335,1,1336,0.11
8,Jitendra Kumar,Jwala Dal,1572,0,1572,0.13
9,Shyamnarayan Yadav,Pragatishil Samajwadi Party (Lohia),2702,6,2708,0.23
10,Subhash Chandra Dubey,Socialist Party (India),1982,0,1982,0.17
11,NOTA,None of the Above,7647,41,7688,0.65
,Total, ,1181222,3413,1184635,
