SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DILIP KUMAR SINGH,Bahujan Samaj Party,325803,667,326470,29.96
2,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,574101,1021,575122,52.77
3,PRITAM SINGH LODHI KISAAN,Indian National Congress,114376,158,114534,10.51
4,ARVIND KUMAR PRAJAPATI,Pragatishil Samajwadi Party (Lohia),4247,4,4251,0.39
5,ER. KEDARNATH VISHWAKARMA,Bahujan Mukti Party,2848,3,2851,0.26
6,SHRIRAM SINGH GAUR,Bhartiya Shakti Chetna Party,2834,1,2835,0.26
7,SURESH CHANDRA RAJPUT,Rashtriya Kranti Party,1983,0,1983,0.18
8,KAMLESH KUMAR,Independent,2441,3,2444,0.22
9,KAMTA PRASAD PRAJAPATI,Independent,2693,4,2697,0.25
10,MADHURAJ,Independent,2304,2,2306,0.21
11,RAJESH,Independent,4917,0,4917,0.45
12,RAM GOPAL,Independent,4205,1,4206,0.39
13,SARJOOLAL,Independent,5206,0,5206,0.48
14,SANJAY KUMAR SAHU,Independent,24787,14,24801,2.28
15,NOTA,None of the Above,15141,14,15155,1.39
,Total, ,1087886,1892,1089778,
