SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Usha Verma,Samajwadi Party,434459,1210,435669,41.2
2,Jai Prakash,Bharatiya Janata Party,567244,899,568143,53.72
3,Virendra Kumar,Indian National Congress,19943,29,19972,1.89
4,Mahendra Pal Verma,Bahujan Awam Party,2247,6,2253,0.21
5,Ram Chandra,Bhartiya Krishak Dal,1130,0,1130,0.11
6,Sahab Singh,Peoples Party of India (Democratic),1197,0,1197,0.11
7,Sanjay Bharatiya,Pragatishil Samajwadi Party (Lohia),1801,1,1802,0.17
8,Avdhesh Kumar,Independent,1373,0,1373,0.13
9,Chotte Lal,Independent,2041,0,2041,0.19
10,Bhaiya Lal,Independent,7911,0,7911,0.75
11,Shive Kumar,Independent,5043,0,5043,0.48
12,NOTA,None of the Above,11003,21,11024,1.04
,Total, ,1055392,2166,1057558,
