SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAJVIR DILER,Bharatiya Janata Party,679799,4500,684299,59.49
2,RAMJI LAL SUMAN,Samajwadi Party,422588,1503,424091,36.87
3,TRILOKI RAM,Indian National Congress,23715,211,23926,2.08
4,BHUPENDRA KUMAR,Rashtriya Shoshit Samaj Party,1559,6,1565,0.14
5,RAJARAM,Lok Dal,2297,8,2305,0.2
6,TILAK SINGH,Independent,880,3,883,0.08
7,DINESH SAI,Independent,1392,2,1394,0.12
8,HARSWAROOP,Independent,3263,0,3263,0.28
9,NOTA,None of the Above,8542,26,8568,0.74
,Total, ,1144035,6259,1150294,
