SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Anurag Sharma,Bharatiya Janata Party,808371,901,809272,58.61
2,Shyam Sundar Singh,Samajwadi Party,443090,499,443589,32.12
3,Shivsharan,Indian National Congress,86080,59,86139,6.24
4,Gaurishankar,"Kisan Raksha Party,",3302,1,3303,0.24
5,Jagat Vikram Singh,Pragatishil Samajwadi Party (Lohia),2696,1,2697,0.2
6,Dilshad Ahmed Siddique,Swatantra Jantaraj Party,2263,1,2264,0.16
7,Shruti Agrawal,Bundelkhand Kranti Dal,1845,4,1849,0.13
8,Kalpana Khard,Independent,1769,1,1770,0.13
9,Raja Khateek,Independent,2247,3,2250,0.16
10,Ramgopal,Independent,3807,0,3807,0.28
11,Sunil Prajapati,Independent,5709,2,5711,0.41
12,NOTA,None of the Above,18228,11,18239,1.32
,Total, ,1379407,1483,1380890,
