SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Chandradev Ram Yadav,Bahujan Samaj Party,319418,339,319757,32.58
2,Brijbhusan Sharan Singh,Bharatiya Janata Party,580226,1132,581358,59.24
3,Vinay Kumar Pandey 'Vinnu',Indian National Congress,37049,83,37132,3.78
4,Umesh Kumar,Rashtriya Jan Adhikar Party (United),5898,1,5899,0.6
5,Chandra Prakash Pandey,Naitik Party,3114,3,3117,0.32
6,Dhananjay Sharma,Pragatishil Samajwadi Party (Lohia),2000,1,2001,0.2
7,Pramod Kumar,Samrat Ashok Sena Party,2214,0,2214,0.23
8,Vajid,Aam Janta Party (India),2036,0,2036,0.21
9,Santosh,Bharat Prabhat Party,2165,1,2166,0.22
10,Om Prakash Mishra,Independent,3085,4,3089,0.31
11,Munni,Independent,4563,2,4565,0.47
12,Shiv Narayan,Independent,4898,0,4898,0.5
13,NOTA,None of the Above,13157,11,13168,1.34
,Total, ,979823,1577,981400,
