SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DIMPLE YADAV,Samajwadi Party,549200,1534,550734,48.29
2,SUBRAT PATHAK,Bharatiya Janata Party,561286,1801,563087,49.37
3,ANAND VIKRAM SINGH,Shivsena,4905,17,4922,0.43
4,RAMA DEVI,Bhartiya Vanchitsamaj Party,972,12,984,0.09
5,SATYA RAM,Rashtriya Kranti Party,875,0,875,0.08
6,SUBHASH CHANDRA DOHRE,All India Forward Bloc,1337,0,1337,0.12
7,SANJEEV KUMAR,Rashtriya Samaj Paksha,1200,3,1203,0.11
8,ANKIT SINGH,Independent,1159,4,1163,0.1
9,PRATYUSH PATHAK,Independent,3881,2,3883,0.34
10,SUNIL BHARTI,Independent,4143,0,4143,0.36
11,NOTA,None of the Above,8142,23,8165,0.72
,Total, ,1137100,3396,1140496,
