SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,INDRAJEET SAROJ,Samajwadi Party,343274,1013,344287,35.33
2,GIRISH PASI,Indian National Congress,16384,58,16442,1.69
3,VINOD KUMAR SONKAR,Bharatiya Janata Party,381517,1492,383009,39.31
4,BACHACHA LAL,Bhartiya Shakti Chetna Party,6206,5,6211,0.64
5,MISHRI LAL,Swatantra Jantaraj Party,3178,5,3183,0.33
6,RAJDEV,Pragatishil Samajwadi Party (Lohia),4986,0,4986,0.51
7,SHAILENDRA KUMAR PASI,Jansatta Dal Loktantrik,156269,137,156406,16.05
8,CHHEDDU,Independent,3562,4,3566,0.37
9,PRADEEP KUMAR,Independent,2376,1,2377,0.24
10,RAM SUMER,Independent,4219,5,4224,0.43
11,SHAILENDRA KUMAR,Independent,26954,13,26967,2.77
12,SHAILENDRA KUMAR,Independent,8009,2,8011,0.82
13,NOTA,None of the Above,14751,18,14769,1.52
,Total, ,971685,2753,974438,
