SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,N.P. KUSHWAHA ALIAS NATHUNI PRASAD KUSHWAHA,Samajwadi Party,257776,1703,259479,24.64
2,KUNWER RATANJIT PRATAP NARAYAN SINGH,Indian National Congress,145495,656,146151,13.88
3,VIJAY KUMAR DUBEY,Bharatiya Janata Party,595508,1531,597039,56.69
4,AMIRUDDIN,Apna Dal United Party,8540,1,8541,0.81
5,ARVIND YADAV,Communist Party of India (Marxist-Leninist) Red Star,1405,1,1406,0.13
6,UMESH SINGH,Bhartiya Shakti Chetna Party,1602,3,1605,0.15
7,USMAN,Peace Party,2714,1,2715,0.26
8,P.C. KUREEL,Indian National League,3072,0,3072,0.29
9,DR GANESH,Akhil Bhartiya Gondwana Party,1822,9,1831,0.17
10,RAJIV,Suheldev Bharatiya Samaj Party,8449,5,8454,0.8
11,RAM PRATAP,Purvanchal Mahapanchayat,2366,3,2369,0.22
12,LALITA,Akhil Bhartiya Navnirman Party,2755,4,2759,0.26
13,GUDDI KINNAR,Independent,5881,0,5881,0.56
14,SHIV KUMAR,Independent,3518,0,3518,0.33
15,NOTA,None of the Above,8276,21,8297,0.79
,Total, ,1049179,3938,1053117,
