SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Trilokinath,Communist Party of India,8838,5,8843,0.92
2,Neelam Sonker,Bharatiya Janata Party,356328,895,357223,37.19
3,Pankaj Mohan Sonkar,Indian National Congress,17603,27,17630,1.84
4,Sangeeta Azad,Bahujan Samaj Party,517545,1275,518820,54.01
5,Engineer Ajeet Sonkar,Aam Aadmi Party,4517,3,4520,0.47
6,Chandrashekhar,Bharat Prabhat Party,1608,0,1608,0.17
7,Dr. Deelip Kumar Saroj,Suheldev Bharatiya Samaj Party,17924,3,17927,1.87
8,Pintoo,Kanshiram Bahujan Dal,1642,0,1642,0.17
9,Radheshyam Gautam,Rashtriya Ulama Council,6091,2,6093,0.63
10,Lcchiman Kannooizya,Prithviraj Janshakti Party,1880,0,1880,0.2
11,Hemraj Paswan,Pragatishil Samajwadi Party (Lohia),2310,10,2320,0.24
12,Akhilesh,Independent,3225,7,3232,0.34
13,Ramchandar,Independent,7325,0,7325,0.76
14,Santosh Kumar,Independent,3163,0,3163,0.33
15,Subash Saroj,Independent,3282,0,3282,0.34
16,NOTA,None of the Above,5041,19,5060,0.53
,Total, ,958322,2246,960568,
