SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Poonam Shatrughan Sinha,Samajwadi Party,282858,2866,285724,25.59
2,Acharya Pramod Krishnam,Indian National Congress,178904,1107,180011,16.12
3,Rajnath Singh,Bharatiya Janata Party,627881,5145,633026,56.7
4,Amar Kumar Raizada,Akhil Bharatiya Jan Sangh,2099,5,2104,0.19
5,Kapil Mohan,Mera Adhikaar Rashtriya Dal,471,3,474,0.04
6,Ganesh Chaudhari,Saaf Party,506,9,515,0.05
7,Girish Narain Pande,Sarvodaya Bharat Party,565,4,569,0.05
8,Haji Faheem Siddiqui,Indian National League,569,3,572,0.05
9,Professor D.N.N.S. Yadav,Peoples Party of India (Democratic),666,9,675,0.06
10,Ramesh,All India Forward Bloc,730,9,739,0.07
11,Ram Sagar Pal,Awami Samta Party,1232,19,1251,0.11
12,Shamim Khan,Nagrik Ekta Party,931,4,935,0.08
13,Avinash Chandra Jain,Independent,592,2,594,0.05
14,Jimidar Singh Yadav,Independent,857,2,859,0.08
15,Sanjay Singh Rana,Independent,980,1,981,0.09
16,NOTA,None of the Above,7259,157,7416,0.66
,Total, ,1107100,9345,1116445,
