SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Tribhuvan Ram (T.Ram),Bahujan Samaj Party,486763,1453,488216,47.17
2,Bholanath (B.P. Saroj),Bharatiya Janata Party,487093,1304,488397,47.19
3,Dr. Amarnath Paswan,Jan Adhikar Party,7617,5,7622,0.74
4,Garib,Mahamukti Dal,2476,1,2477,0.24
5,Chanchal Kumar,Rashtriya Samaj Paksha,2615,5,2620,0.25
6,Jitendra,Bhartiya Manav Samaj Party,1422,3,1425,0.14
7,Dasharath,Prithviraj Janshakti Party,1310,0,1310,0.13
8,Deep Chand Ram Urf B.D.O Sahab,Kanshiram Bahujan Dal,2806,8,2814,0.27
9,Nandlal,Bharat Prabhat Party,1491,0,1491,0.14
10,Brijesh Kumar,Republican Party of India,1999,0,1999,0.19
11,Rajkeshar,Sajag Samaj Party,2038,3,2041,0.2
12,Raj Nath,Suheldev Bharatiya Samaj Party,11212,11,11223,1.08
13,Ram Naresh,Moulik Adhikar Party,4272,1,4273,0.41
14,Gangaram,Independent,3167,1,3168,0.31
15,"Deepak Kumar ""Nanhe""",Independent,5018,1,5019,0.48
16,NOTA,None of the Above,10812,18,10830,1.05
,Total, ,1032111,2814,1034925,
