SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AKHILESH,Samajwadi Party,385592,333,385925,31.45
2,PANKAJ CHOUDHARY,Bharatiya Janata Party,725557,792,726349,59.2
3,SUPRIYA SHRINATE,Indian National Congress,72449,67,72516,5.91
4,PAPPU CHAUHAN,Satya Kranti Party,2856,1,2857,0.23
5,MANISH,Bahujan Mukti Party,1530,4,1534,0.13
6,MANOJ KUMAR RANA,Bhartiya Kisan Union Samaj Party,1777,9,1786,0.15
7,SHIV CHARAN,Jai Hind Samaj Party,1431,0,1431,0.12
8,SUMIT,Janhit Kisan Party,5183,0,5183,0.42
9,ANEEL KUMAR,Independent,2040,2,2042,0.17
10,AMARJEET,Independent,2254,0,2254,0.18
11,PANNELAL,Independent,3871,1,3872,0.32
12,PRAMOD KUMAR,Independent,2236,0,2236,0.18
13,MOHANKUMAR,Independent,3066,0,3066,0.25
14,LALDHARI YADAV,Independent,5386,1,5387,0.44
15,NOTA,None of the Above,10458,20,10478,0.85
,Total, ,1225686,1230,1226916,
