SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PREM SINGH SHAKYA,Bharatiya Janata Party,428559,1978,430537,44.09
2,MULAYAM SINGH YADAV,Samajwadi Party,523145,1781,524926,53.75
3,OMBEER LODHI,Jan Seva Sahayak Party,2574,6,2580,0.26
4,KULDEEP KUMAR,Bhartiya Kisan Party,1173,22,1195,0.12
5,CHAKRAPAN,Jan Adesh Akshuni Sena,1809,3,1812,0.19
6,TEJ PRATAP SINGH JATAV,Moulik Adhikar Party,1728,2,1730,0.18
7,RAJAT KUMAR,Bhartiya Jan Nayak Party,619,4,623,0.06
8,RAVINDRA SINGH KATAR,Bhartiya Navodaya Party,617,2,619,0.06
9,SHYAM SINGH,Swatantra Jantaraj Party,1051,2,1053,0.11
10,HARIRAM SHAKYA,Voters Party International,1119,2,1121,0.11
11,RAVINDRA SINGH YADAV,Independent,977,3,980,0.1
12,SAVENDRA SINGH,Independent,2628,3,2631,0.27
13,NOTA,None of the Above,6698,13,6711,0.69
,Total, ,972697,3821,976518,
