SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,HAJI MOHAMMAD YAQOOB,Bahujan Samaj Party,580597,858,581455,47.8
2,RAJENDRA AGARWAL,Bharatiya Janata Party,582976,3208,586184,48.19
3,HARENDRA AGARWAL,Indian National Congress,34301,178,34479,2.83
4,AFZAL,Bahujan Maha Party,877,5,882,0.07
5,ARTI AGARWAL,Shivsena,946,11,957,0.08
6,KIRAN R. C. JATAV,Kartavya Rashtriya Party,500,12,512,0.04
7,DHARMENDRA,Bhartiya Janta Dal,479,10,489,0.04
8,NASIR ALI KHAN,Pragatishil Samajwadi Party (Lohia),918,3,921,0.08
9,RAJESH GIRI,Sarvodaya Bharat Party,976,2,978,0.08
10,SHRAVAN KUMAR AGARWAL,Independent,1022,3,1025,0.08
11,SAHANSAR PAL SINGH,Independent,2213,2,2215,0.18
12,NOTA,None of the Above,6271,45,6316,0.52
,Total, ,1212076,4337,1216413,
